chapter_id,file_name,pages,image_rows
us-01,1. FAST.pdf,55,66
us-02,2. Focused Echo.pdf,125,127
us-03,3. Physics and Knobology.pdf,54,46
us-04,4. Resuscitative US.pdf,57,63
us-05,5. Thoracic Ultrasound.pdf,40,45
us-06,6. Aorta.pdf,68,53
us-07,7. Hepatobiliary.pdf,73,76
us-08,8. Renal.pdf,42,31
us-09,9. Pregnancy.pdf,47,38
us-10,10. Gynecologic.pdf,42,36
us-11,11. Soft TIssue.pdf,46,45
us-12,12. Ocular.pdf,47,44
us-13,13. Procedural US.pdf,62,48
us-14,14. Airway and ENT.pdf,30,24
us-15,15. DVT and VTE.pdf,57,52
us-16,16. Testicular.pdf,43,33
us-17,17. Bowel and Appendix.pdf,41,33
us-18,18. MSK.pdf,50,46
